Field,ID,Type (Type),default,en,de,es,fr,pl,pt
Description,2,Texte,,Export save files from your Xbox games to a folder. Works with Game Pass and cloud-compatible games. Manually transfer your local saves to Steam or other platforms.,Exportieren Sie lokale Speicherdateien Ihrer Cloud-kompatiblen Xbox-Spiele. Übertragen Sie sie manuell auf Steam oder eine andere Plattform.,Exporta los archivos guardados locales de tus juegos Xbox compatibles con la nube. Transfiérelos manualmente a Steam u otra plataforma.,Exportez les sauvegardes locales de vos jeux Xbox compatibles cloud. Transférez-les manuellement vers Steam ou une autre plateforme.,Eksportuj lokalne pliki zapisu z gier Xbox kompatybilnych z chmurą. Przenieś je ręcznie do Steam lub innej platformy.,Exporte arquivos salvos locais de seus jogos Xbox compatíveis com a nuvem. Transfira-os manualmente para Steam ou outra plataforma.
ReleaseNotes,3,Texte,,"v1.2.0

Added:
- Added a new ""Smart Export"" button to experimentally recreate the original path and file name for some games.

Fixed:
- Fixed an issue where the app could crash during the export process.
- Fixed incorrect progress bar tracking during exports for specific folder structures.
- Fixed bad translations.
- Corrected author name spelling on the About page.

Changed:
- Updated the application name to be clearer and more relevant.
- Updated application license.","v1.2.0

Hinzugefügt:
- Es wurde eine neue Schaltfläche ""Intelligenter Export"" hinzugefügt, um den ursprünglichen Pfad und Dateinamen für einige Spiele experimentell wiederherzustellen.

Behoben:
- Es wurde ein Problem behoben, bei dem die App während des Exportvorgangs abstürzen konnte.
- Fehlerhafte Verfolgung des Fortschrittsbalkens bei Exporten für bestimmte Ordnerstrukturen behoben.
- Schlechte Übersetzungen korrigiert.
- Schreibweise des Autorennamens auf der Info-Seite korrigiert.

Geändert:
- Der Anwendungsname wurde aktualisiert, um klarer und relevanter zu sein.
- Die Anwendungslizenz wurde aktualisiert.","v1.2.0

Añadido:
- Se añadió un nuevo botón ""Exportación Inteligente"" para recrear experimentalmente la ruta original y el nombre del archivo para algunos juegos.

Corregido:
- Se corrigió un problema por el cual la aplicación podía bloquearse durante el proceso de exportación.
- Se corrigió el seguimiento incorrecto de la barra de progreso durante las exportaciones para estructuras de carpetas específicas.
- Se corrigieron malas traducciones.
- Se corrigió la ortografía del nombre del autor en la página Acerca de.

Cambiado:
- Se actualizó el nombre de la aplicación para que sea más claro y relevante.
- Se actualizó la licencia de la aplicación.","v1.2.0

Ajouté :
- Ajout d'un nouveau bouton ""Export intelligent"" pour recréer de manière expérimentale le chemin et le nom de fichier originaux pour certains jeux.

Corrigé :
- Correction d'un problème qui pouvait faire planter l'application pendant le processus d'exportation.
- Correction d'un suivi incorrect de la barre de progression lors des exportations pour certaines structures de dossiers.
- Correction de mauvaises traductions.
- Correction de l'orthographe du nom de l'auteur sur la page À propos.

Modifié :
- Mise à jour du nom de l'application pour être plus clair et plus pertinent.
- Mise à jour de la licence de l'application.","v1.2.0

Dodano:
- Dodano nowy przycisk ""Inteligentny eksport"", aby eksperymentalnie odtworzyć oryginalną ścieżkę i nazwę pliku dla niektórych gier.

Naprawiono:
- Naprawiono problem, przez który aplikacja mogła ulegać awarii podczas procesu eksportowania.
- Naprawiono nieprawidłowe śledzenie paska postępu podczas eksportowania dla określonych struktur folderów.
- Naprawiono złe tłumaczenia.
- Poprawiono pisownię imienia i nazwiska autora na stronie Informacje.

Zmieniono:
- Zaktualizowano nazwę aplikacji, aby była jaśniejsza i bardziej trafna.
- Zaktualizowano licencję aplikacji.","v1.2.0

Adicionado:
- Adicionado um novo botão ""Exportação Inteligente"" para recriar experimentalmente o caminho original e o nome do arquivo para alguns jogos.

Corrigido:
- Corrigido um problema em que o aplicativo poderia travar durante o processo de exportação.
- Corrigido o acompanhamento incorreto da barra de progresso durante as exportações para estruturas de pastas específicas.
- Corrigidas as más traduções.
- Corrigida a ortografia do nome do autor na página Sobre.

Alterado:
- Atualizado o nome do aplicativo para ser mais claro e relevante.
- Atualizada a licença do aplicativo."
Title,4,Texte,,Game Save Exporter for Xbox,Spielsicherung Exporter für Xbox,Exportador Guardado Juego para Xbox,Exportateur Sauvegarde pour Jeu Xbox,Eksporter Zapisów Gry dla Xbox,Exportador Salvamento Jogo para Xbox
ShortTitle,5,Texte,,,,,,,
SortTitle,6,Texte,,,,,,,
VoiceTitle,7,Texte,,,,,,,
ShortDescription,8,Texte,,,,,,,
DevStudio,9,Texte,,Tom60,Tom60,Tom60,Tom60,Tom60,Tom60
CopyrightTrademarkInformation,12,Texte,,"Made by Tom60 <contact.tom60@proton.me>.
This program and its author are not affiliated with Microsoft and these subsidiaries.","Gemacht von Tom60 <contact.tom60@proton.me>.
Dieses Programm und sein Autor sind nicht mit Microsoft und diesen Tochtergesellschaften verbunden.","Hecho por Tom60 <contact.tom60@proton.me>.
Este programa y su autor no están afiliados a Microsoft ni a estas subsidiarias.","Réalisé par Tom60 <contact.tom60@proton.me>.
Ce programme et son auteur ne sont pas affiliés à Microsoft et à ces filiales.","Wykonane przez Tom60 <contact.tom60@proton.me>.
Ten program i jego autor nie sa powiazani z firma Microsoft i tymi podmiotami zaleznymi.","Feito por Tom60 <contact.tom60@proton.me>.
Este programa e seu autor não são afiliados à Microsoft e a essas subsidiárias."
AdditionalLicenseTerms,13,Texte,,,,,,,
